kv_New	Ekv_New	kc_New	Ekc_New
0.7773	-0.315	0.744	0.4284
0.784	-0.2569	0.7507	0.4105
0.7907	-0.1991	0.7573	0.3919
0.7973	-0.1415	0.764	0.3729
0.804	-0.0842	0.7707	0.3533
0.8107	-0.0272	0.7773	0.3333
0.8173	0.0295	0.784	0.3129
0.824	0.0859	0.7907	0.2922
0.8307	0.1417	0.7973	0.2713
0.844	0.2521	0.804	0.2502
0.8507	0.3062	0.8107	0.229
0.8573	0.3595	0.8173	0.2078
0.864	0.4118	0.824	0.1866
0.8707	0.4626	0.8307	0.1654
0.8773	0.5115	0.844	0.1234
0.884	0.5578	0.8507	0.1027
0.8907	0.6004	0.8573	0.0822
0.8973	0.6378	0.864	0.0621
0.904	0.6678	0.8707	0.0422
0.9107	0.6879	0.8773	0.0227
0.924	0.6608	0.884	0.0036
0.9373	0.6369	0.8907	-0.015
0.9506	0.5968	0.8973	-0.0333
0.964	0.5261	0.904	-0.051
0.9773	0.4493	0.9107	-0.068
0.9906	0.3691	0.924	-0.0357
1.004	0.2867	0.9373	-0.0065
1.0173	0.2032	0.9506	0.0199
1.0306	0.1189	0.964	0.0437
1.044	0.0344	0.9773	0.0657
1.0573	-0.0499	0.9906	0.0863
1.0706	-0.1339	1.004	0.1062
1.084	-0.2173	1.0173	0.126
1.0973	-0.2922	1.044	0.1675
		        1.0573	0.19
		        1.0706	0.214
		        1.084	0.2396
		        1.0973	0.2668
		        1.1106	0.2956
		        1.124	0.3256
		        1.1373	0.3565
		        1.1506	0.3877
		        1.164	0.4188
